Date,V1,V2,V3,I1,I2,I3,Total kW,Total kvar,Total kVA,Total PF,Frequency
2019-9-12 2:53:45.922811,11910,12012,12114,11821,11812,11811,11828,11826,12003,11921,50
2019-9-12 2:53:45.988709,11910,12012,12114,11821,11812,11811,11828,11826,12003,11921,50
2019-9-12 2:53:46.54428,11910,12012,12114,11821,11812,11811,11828,11826,12003,11921,50
2019-9-12 2:53:46.120296,11910,12012,12114,11821,11812,11811,11828,11826,12003,11921,50
2019-9-12 2:53:46.185891,11910,12012,12114,11821,11812,11811,11829,11827,12004,11922,50
2019-9-12 2:53:46.252072,11911,12013,12115,11822,11813,11812,11829,11827,12004,11922,50
2019-9-12 2:53:46.318713,11911,12013,12115,11822,11813,11812,11829,11827,12004,11922,50
2019-9-12 2:53:46.382568,11911,12013,12115,11822,11813,11812,11829,11827,12004,11922,50
2019-9-12 2:53:46.448186,11911,12013,12115,11822,11813,11812,11829,11827,12004,11922,50
2019-9-12 2:53:46.513965,11911,12013,12115,11822,11813,11812,11829,11827,12004,11922,50
2019-9-12 2:53:46.580465,11911,12013,12115,11822,11813,11812,11829,11827,12004,11922,50
2019-9-12 2:53:46.644716,11911,12013,12115,11822,11813,11812,11829,11827,12004,11922,50
2019-9-12 2:53:46.711500,11912,12014,12116,11823,11814,11813,11830,11828,12005,11923,50
2019-9-12 2:53:46.773514,11912,12014,12116,11823,11814,11813,11830,11828,12005,11923,50
2019-9-12 2:53:46.836328,11912,12014,12116,11823,11814,11813,11830,11828,12005,11923,50
2019-9-12 2:53:46.905643,11912,12014,12116,11823,11814,11813,11830,11828,12005,11923,50
2019-9-12 2:53:46.971589,11912,12014,12116,11823,11814,11813,11830,11828,12005,11923,50
2019-9-12 2:53:47.37112,11912,12014,12116,11823,11814,11813,11830,11828,12005,11923,50
2019-9-12 2:53:47.118905,11912,12014,12116,11823,11814,11813,11830,11828,12005,11923,50
2019-9-12 2:53:47.186842,11912,12014,12116,11823,11814,11813,11831,11829,12006,11924,50
2019-9-12 2:53:47.256870,11913,12015,12117,11824,11815,11814,11831,11829,12006,11924,50
2019-9-12 2:53:47.322671,11913,12015,12117,11824,11815,11814,11831,11829,12006,11924,50
2019-9-12 2:53:47.406409,11913,12015,12117,11824,11815,11814,11831,11829,12006,11924,50
2019-9-12 2:53:47.471966,11913,12015,12117,11824,11815,11814,11831,11829,12006,11924,50
2019-9-12 2:53:47.537635,11913,12015,12117,11824,11815,11814,11831,11829,12006,11924,50
2019-9-12 2:53:47.605632,11913,12015,12117,11824,11815,11814,11831,11829,12006,11924,50
2019-9-12 2:53:47.671252,11913,12015,12117,11824,11815,11814,11831,11829,12006,11924,50
2019-9-12 2:53:47.737213,11914,12016,12118,11825,11816,11815,11832,11830,12007,11925,50
2019-9-12 2:53:47.808845,11914,12016,12118,11825,11816,11815,11832,11830,12007,11925,50
2019-9-12 2:53:47.874779,11914,12016,12118,11825,11816,11815,11832,11830,12007,11925,50
2019-9-12 2:53:47.952476,11914,12016,12118,11825,11816,11815,11832,11830,12007,11925,50
2019-9-12 2:53:48.18325,11914,12016,12118,11825,11816,11815,11832,11830,12007,11925,50
2019-9-12 2:53:48.85138,11914,12016,12118,11825,11816,11815,11832,11830,12007,11925,50
2019-9-12 2:53:48.149917,11914,12016,12118,11825,11816,11815,11832,11830,12007,11925,50
2019-9-12 2:53:48.215944,11914,12016,12118,11825,11816,11815,11833,11831,12008,11926,50
2019-9-12 2:53:48.281596,11915,12017,12119,11826,11817,11816,11833,11831,12008,11926,50
2019-9-12 2:53:48.347523,11915,12017,12119,11826,11817,11816,11833,11831,12008,11926,50
2019-9-12 2:53:48.415654,11915,12017,12119,11826,11817,11816,11833,11831,12008,11926,50
2019-9-12 2:53:48.485257,11915,12017,12119,11826,11817,11816,11833,11831,12008,11926,50
2019-9-12 2:53:48.551407,11915,12017,12119,11826,11817,11816,11833,11831,12008,11926,50
2019-9-12 2:53:48.616962,11915,12017,12119,11826,11817,11816,11833,11831,12008,11926,50
2019-9-12 2:53:48.682675,11915,12017,12119,11826,11817,11816,11833,11831,12008,11926,50
2019-9-12 2:53:48.748577,11916,12018,12120,11827,11818,11817,11834,11832,12009,11927,50
